slide,code,bp,sp_per_meter,bundle_price,og,stock_meters,colour_from_text,unit_type,is_lace,listing_price,mrp,notes,raw_text,image_files
1,HA6758,1200,,4200,,9,D-PURPLE,bundle,True,4200.0,6000.0,,"CODE HA6758
Stock -9METER
Colour -D-PURPLE
Bp - 1200

BUNDLE- 4200(8meters) sold asa a bundle only",slide01_img2_HA6758.jpg
2,RI5839,75,85,230,,18,,bundle,True,230.0,328.57,,"CODE - RI5839
 stock-18 METER
Buying price 75
BUNDLE -230(18 meters , 230 sp)
Selling price per meter -85",slide02_img2_RI5839.png
3,HA7018,625,,1350,,9,PINK,bundle,True,1350.0,1928.57,,"CODE HA7018
bp -625
Colour -PINK
Stock -9METER
BUNDLE 1350(sold as a bundle)",slide03_img2_HA7018.jpg
4,HA6790,565,,985,,9,GREEN,bundle,True,985.0,1407.14,,"CODE HA6790
Colour -GREEN
Stock -9 METER
Bp- 565
BUNDLE 985(sold as a bundle only)",slide04_img2_HA6790.jpg
5,HA6988,435,,890,,9,WINE,bundle,True,890.0,1271.43,,"HA6988
Colour WINE
bp 435
Stock 9METER
BUNDLE 890(sold as a bundle only)",slide05_img2_HA6988.jpg
6,HA6979,305,135,450,,9,,bundle,True,450.0,642.86,,"CODE HA6979
STOCK 9METERS
BP - 305
SP BUNDLE  450
SP PER METER 135
COLOURS 10 AVAILABLE",slide06_img2_HA6979.jpg
7,RI5687,135,30,280,,45,,bundle,True,280.0,400.0,,"CODE RI5687
Bp 135
Stock - 45METER
BUNDLE 280(sold as a bundle only)
METER 30",slide07_img2_RI5687.png
8,ST987,180,80,280,,18,,bundle,True,280.0,400.0,,"Code- ST987 stock -18 METER BP -180
BUNDLE- 280 SP/METER - 80",slide08_img2_ST987.png
9,MI263,190,120,450,,18,,bundle,True,450.0,642.86,,"CODE MI263
BP 190
STOCK 18METER
SP 120
BUNDLE 450",slide09_img2_MI263.png
10,RI4680,70,65,300,,9,,bundle,True,300.0,428.57,,"CODE RI4680
BP 70
STOCK 9METER
SP 65
BUNDLE 300",slide10_img2_RI4680.jpg
11,MO3188,235,,960,,18,,bundle,True,960.0,1371.43,,Code – MO3188 BP- 235 SP – NO SP PER METER ONLY SOLD AS BUNDLE OF 18 METERS STOCK 18 METERS SP ONLY BUNDLE PRICE 960/-,slide11_img2_MO3188.jpg
12,RI280,70,50,250,,9,,bundle,True,250.0,357.14,,"CODE RI280
STOCK 9METER
BP-70
SP- 50
BUNDLE OF 9 METERS 250",slide12_img2_RI280.png
13,MO3650,935,450,2400,,9,,bundle,True,2400.0,3428.57,,"CODE MO3650
BP 935
STOCK 9METER
SP 450 
BUNDLE  2400",slide13_img2_MO3650.png
14,MO2029,670,380,2000,,9,,bundle,True,2000.0,2857.14,,"CODE -MO2029
BP 670
STOCK 9METER
SP 380/METER
BUNDLE  2000",slide14_img2_MO2029.png
15,MO3857,740,440,2300,,9,,bundle,True,2300.0,3285.71,,"CODE MO3857 BP 740
STOCK9METER
BUNDLE 2300
SP PER METER 440",slide15_img2_MO3857.png
16,MO3392,800,,1599,,9,,bundle,True,1599.0,2284.29,,code mo3392 bp 800 stock 9 meters  sp- only bundle  Bundle 1599 sold as bundle only,slide16_img2_MO3392.jpg;slide16_img3_MO3392.png
17,HA6378,2900,,4999,,10.5,,bundle,True,4999.0,7141.43,,CODE – HA 6378 STOCK 10.5 METERS BP 2900 BUNDLE 4999(SOLD AS BUNDLE ONLY),slide17_img2_HA6378.jpg
